Tweet_Original,Tweet_Gerado
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Promessas e ataques tomam conta dos programas eleitorais na TV.
"RT @professorigor: ""Estamos em 2021 candidato, não precisa citar o passado""
#BolsonaroNoJornalNacional https://t.co/HCq27LEcCk",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @Pedro_henriqz: Nao tenho vergonha de ser gay e apoiar o bolsonaro, eu vim de uma família tradicional brasileira, e apoio esses valores…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @MatheusfRomero: Então a Globo precisou censurar o livro que seria mostrado para crianças nas escolas? Interessante...
#BolsonaroNoJorna…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @Lesbicando1995: bolsonaro é a favor da tortura e armamento, racista, machista, homofóbico, despreza a cultura indígena, quer limitar qu…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",A disputa presidencial segue dividindo opiniões por todo o país.
"RT @PPortalUrach: Você irá votar em Jair Bolsonaro?

SIM - FAV 
NÃO - RT 

#BolsonaroNoJornalNacional https://t.co/2JZbdF96xU","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @fabipaesleme: Hoje na Barra da Tijuca, RJ. Depois da entrevista do candidato Jair Bolsonaro na Rede Globo #BolsonaroNoJornalNacional ht…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"RT @eufeguedes: Demorei bastante tempo para realmente decidir. Pesquisei sobre muitos candidatos, suas propostas, seus ideais, etc. Depois…",As redes sociais estão em chamas com discussões sobre os candidatos.
RT @rick0800: Essa parte da entrevista Jair Bolsonaro leva a entrevistadora e a rede Globo a um knock dow e uma suspirada de ódio do Willia…,Novas denúncias agitam o cenário político a poucos dias da votação.
RT @marioqueiroga: Agora... No shopping... A galera parando na frente de qualquer TV pra ver Bolsonaro !! Vc acredita ainda em pesquisa?? #…,Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",A disputa entre os candidatos está cada vez mais agressiva.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",A disputa presidencial segue dividindo opiniões por todo o país.
"RT @joaodrew94: vamos apreciar a beleza da mulher que matou o Bolsonaro em pleno Jornal Nacional. 
#BolsonaroNoJornalNacional 
OBRIGADO REN…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @terca_livre: Merval Pereira mordeu a isca... 

DEUS FAMÍLIA BRASIL = palavras que não existem no dicionário dos globais.

Entrevista ag…",Programas humorísticos também satirizam o clima tenso das eleições.
"RT @danieltuita: o cara é editor chefe 
procurou os salarios mas nao procurou os  cargos

é muita burrice porem mil likes dos bolsominion s…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Programas humorísticos também satirizam o clima tenso das eleições.
"RT @RondinellySena: Vamos lá Brasil: Já que as pesquisas eleitorais ""oficiais"" são manipuladas, vamos descobrir a verdade.

Em quem você vo…",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @flaviogomes69: Nem mais, nem menos. Nenhuma pessoa razoavelmente civilizada vota nisso aí. https://t.co/GgylHHTiMm","Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @Desesquerdizada: De #BolsonaroNoJornalNacional: ""Vocês vivem em grade parte aqui de recursos da União"".
VERDADEIRO. https://t.co/zMzWuY…",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @kimpkat: Resposta sobre segurança pública irretocável. Policial que, no meio da ação, mata o criminoso que porta arma ostensivamente, d…",As fake news continuam circulando em ritmo acelerado nas redes.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",As alianças políticas seguem mudando o rumo das eleições.
"RT @JOAQUIMTEIXEIA: BOLSONARO,
AO VIVO,
no JORNAL NACIONAL:

- falou que a GLOBO é sustentada pelo Estado
- falou da desigualdade salarial…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
RT @carinavitral: Hoje vamos entrevistar o candidato Bozonaro. #BolsonaroNoJornalNacional https://t.co/sk7XLcNFuF,A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @douglasrodrigo2: Prefiro um presidente com cola na mão, do que um com tornozeleira na canela. 

#BolsonaroNoJornalNacional",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @jovensreacinhas: Quem liga para economia, emprego e saúde?

A gente quer saber é de um ""kit gay"" que nunca saiu do papel!

O país não p…",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @SchuldinerSieg: Você acha que o Jair Bolsonaro se saiu bem na Sabatina da Globo?

#BolsonaroNoJornalNacional 

Vote e dê RT!

Vamos ESP…",Os discursos inflamados continuam atraindo a atenção do público.
Fui de #Ciro no primeiro turno. PT não é minha preferência. Mas agora sou #HaddadPresidente desde criancinha. #Eleições2018,As alianças políticas seguem mudando o rumo das eleições.
Sou #HaddadPresidente mas o meu coração é do Ciro Gomes! ❤😭 #Eleições2018,Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"OBRIGADA NORDESTE, VOCÊS SEMPRE NOS SALVANDO 💖 #Eleições2018 #Haddad13 #HaddadPresidente #Nordeste #Ciro12",As fake news continuam circulando em ritmo acelerado nas redes.
"@cirogomes vc n pode ter ganho as eleições, mas ganhou meu coração #ViraViraClR0 #Eleições2018",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @reisvic13: Vc diria não pra este neném? 😍
#ViraViraClR0 #Eleições2018 https://t.co/blQtnWGYQS",Os debates mostram o quanto a polarização está forte neste ano.
Uma andorinha só não faz verão. O #ViraViraClR0  mostrou ao Brasil como se deve votar. Não é à toa que somos destaq… https://t.co/ZwxkzRgLZZ,Novas denúncias agitam o cenário político a poucos dias da votação.
Que eleições futuras seja Ciro Gomes e Boulos de vice. #ViraViraClR0 #Eleições2018 #,Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"A voz do povo é a voz de Deus! 
Esse Vídeo me faz não perder a esperança! 
#eleições2018 #elenão #ViraViraClR0… https://t.co/wxe8aGUmFp",Novas denúncias agitam o cenário político a poucos dias da votação.
Orgulho de ser do único estado em que a maioria dos eleitores votaram de forma racional. #ViraViraClR0 #Eleições2018 #Ceará,Os debates mostram o quanto a polarização está forte neste ano.
RT @TeamCiroGomes: A grandiosa e bela Leila apoiou Ciro lá no DF! Parabéns nova senadora! 👏 #ViraViraClR0 https://t.co/TvXteEWwoy,As alianças políticas seguem mudando o rumo das eleições.
"RT @Badoguinho: A voz do povo é a voz de Deus! 
Esse Vídeo me faz não perder a esperança! 
#eleições2018 #elenão #ViraViraClR0 #Haddad13 #a…",A disputa entre os candidatos está cada vez mais agressiva.
"RT @Aames_Oliveira: Renata Vasconcellos: ""Não, candidato! Por favor, não mostre esse livro escolar! Tem criança assistindo!""
#BolsonaroNoJo…",As alianças políticas seguem mudando o rumo das eleições.
"RT @Ro_Moller: Esta entrevista do Bolsonaro no Jornal Nacional vai tirar o sono de muita gente

E garanto que não será do Bolsonaro ou de s…",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @MrSinceroBlog: #BolsonaroNoJornalNacional

URGENTE!!
PGR acaba de denunciar Jair Bolsonaro:

Depois da entrevista de hoje pra William B…",Programas humorísticos também satirizam o clima tenso das eleições.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,"As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",As alianças políticas seguem mudando o rumo das eleições.
"RT @MarceloDireita: Essa mitada aqui desestabilizou de vez a Renata e o Bonner kkkkkkkkkkk

#BolsonaroNoJornalNacional https://t.co/5e1LTGF…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
FILHO DA PUTAAAA,"As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @oiluiz: Isso não era uma cola para ele se lembrar.

Era uma mensagem pra gente nunca esquecer. 

#BolsonaroNoJornalNacional https://t.c…",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @brasil247: Em sua defesa ao CNJ, Favreto, que mandou soltar Lula, diz que Moro age como se fosse autoridade superior https://t.co/qYDF2…",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @Furttas: Planos de Governo 2018:

Lula/Haddad/Manu
https://t.co/pKFK9QnrjC

Ciro Gomes
https://t.co/diVMal501N

Cabo Daciolo
https://t.…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @gurudepre: Barroso foi ''sorteado''
Lula será ''julgado'' por Barroso
Barroso já declarou inúmeras vezes sua oposição a Lula
Onde está…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
RT @LulaOficial: “Quero que o povo possa decidir se me dará a oportunidade de consertar o país” - @Haddad_Fernando leu carta de Lula aos br…,Mais um escândalo envolvendo políticos vem à tona durante a campanha.
RT @brasil247: Haddad: TSE deve aguardar decisão do STJ antes de julgar candidatura Lula https://t.co/iSyrgsor2P,Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
Lula está para candidato tanto quanto CV está para facção criminosa.,As hashtags políticas dominam o Twitter durante a eleição.
"RT @DanGois____: De dentro da prisão já vi presidiário poder estudar, orar, se exercitar, usar celular, mas ser presidente é a primeira vez…",As alianças políticas seguem mudando o rumo das eleições.
"RT @ManuelaDavila: #tbt da nossa chapa ao melhor estilo ""a nossa voz continua a mesma, mas os nossos cabelos... quanta diferença!"" 😂
Parcer…",Programas humorísticos também satirizam o clima tenso das eleições.
RT @LulaOficial: “Quero que o povo possa decidir se me dará a oportunidade de consertar o país” - @Haddad_Fernando leu carta de Lula aos br…,A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"Isso não é nenhum favor, eh obrigação. É o mínimo que se espera de um membro da justiça, afinal você ganha muito be… https://t.co/8AoItPrzLk",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @Lucas_LukAlves: O MAIOR jornal do mundo, The New York Times, abre suas páginas HOJE p/ artigo do Presidente LULA. A rede Globo ""pira"" a…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
RT @RoseBarros__: #LulaÉPresidiário E ficha suja também https://t.co/1Y6MaDxbAb,A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
RT @DaniloGentili: Se Lula é candidato então PCC é partido político. #LulaÉPresidiário,"As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
RT @lindberghfarias: O #debateBand mostrou porque Lula é o líder isolado em todas as pesquisas e é o candidato que tem a confiança do povo:…,A disputa presidencial segue dividindo opiniões por todo o país.
"RT @AnjokaBramax: #LulaEPresidiario
RESPEITEM A LEI DA FICHA LIMPA
Se aceitarem registro de Lula, não poderão
exigir respeito às instituiçõ…",Os debates mostram o quanto a polarização está forte neste ano.
RT @DCM_online: VÍDEO: TV alemã fala do registro da candidatura de Lula no TSE e chama Bolsonaro de homofóbico e machista https://t.co/5X4K…,Programas humorísticos também satirizam o clima tenso das eleições.
RT @niviaregina: Paguem pra ver!!! https://t.co/slrliBsDc7,A disputa presidencial segue dividindo opiniões por todo o país.
"Se ele pode, Lula também pode: liminar permite que deputado João Rodrigues deixe prisão e dispute eleição https://t.co/ND9ehEk9JB","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @nandaxxie: Um homem que lutou pelo Brasil em 2002 quando ninguém acreditava, que não desistiu e voltou em 2006 para fazer história e se…",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @klauss2013: @anaamelialemos SENADORA, É MUITO IMPORTANTE RESTRINGIR A SAÍDA DE PRESOS - ESPECIALMENTE EM SE TRATANDO DO LULA, POIS #Lul…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @brasil247: Pesquisa em Alagoas: Lula tem 55%, Bolsonaro 11% e Alckmin 2% https://t.co/qB5KZLgO06",Os debates mostram o quanto a polarização está forte neste ano.
"RT @renatamd13: Aécio Neves registrou sua candidatura ontem para Deputado Federal e a Procuradora Geral da República, Raquel Dodge, não deu…",Os debates mostram o quanto a polarização está forte neste ano.
RT @erikakokay: A alegria de quem sabe que tá fazendo história. #LulaÉCandidato Foto: Karina Zambrana https://t.co/Bvq6bEGMMO,A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @Zanfa: 8 milhãozinho e o povo fazendo vaquinha pra família que tava ""passando fome"" após a prisão https://t.co/jJXoPqgvV3",A disputa entre os candidatos está cada vez mais agressiva.
"RT @Lucashdf: #17Neles 
Eu confio! 
Primeiro turno é nosso!

#eleições2018 
#FraudeNasUrnasEletronicas",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @tristheus: 10 - se você defende que o Lula deva ser presidente mesmo sendo um criminoso, você não tem moral alguma pra reclamar de impu…",Programas humorísticos também satirizam o clima tenso das eleições.
RT @JotaInfo: O momento do registro da candidatura de Lula no TSE https://t.co/TXbNxvPDCL,Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @DaniloGentili: Tente explicar para um amigo de outro país que um presidiário tenta, da cadeia, se candidatar a presidente. Filme a reaç…",Os discursos inflamados continuam atraindo a atenção do público.
"A justiça deveria ser sempre ágil, como é para tudo relacionado ao Lula... só acho...",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
@folha Bolsonaro fazendo o papel correto. Respeitem a Lei da ficha Limpa e deixe o Sr Lula pagar a dívida para com a Sociedade.,Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @falandoverdes2: Por isso a corrida para tirar Lula:https://t.co/ANu8ZGp6S7
#LulaÉCandidato #LulaLivre",Os debates mostram o quanto a polarização está forte neste ano.
RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,As alianças políticas seguem mudando o rumo das eleições.
"RT @guzaux: - PESQUISA DO TWITTER - 
QUEM VENCE O 2° TURNO?
 #Eleições2018(RT PARA TODOS VOTAREM)",Programas humorísticos também satirizam o clima tenso das eleições.
"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",A disputa entre os candidatos está cada vez mais agressiva.
"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @LuxAjuda: ENQUANTO ISSO...
#ELEIÇÕES2018 
===
https://t.co/XJpDWTRIIn",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"RT @ddaengbys: ciro gomes na globo news:

- disse que tá grato ao povo brasileiro, especialmente ao cearense que confiou nele;

- disse que…",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
"RT @bchartsnet: MARIELLE VIVE: Talíria Petrone é eleita Deuputada Federal pelo RJ, vai ter mulher negra no Congresso SIM! #Eleições2018 htt…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,Programas humorísticos também satirizam o clima tenso das eleições.
RT @correio: Leila do Vôlei comparece à comemoração de Rollemberg https://t.co/0qoULjzDyr #CBnasEleições #Eleições2018 https://t.co/t6Ytlui…,A disputa entre os candidatos está cada vez mais agressiva.
"RT @fernanda_ct03: Nós amamos o Brasil, amamos todas as regiões, amamos os brasileiros e queremos o melhor para TODOS. Vem com a gente #Bol…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",A disputa entre os candidatos está cada vez mais agressiva.
"RT @jc_pe: Derrotados, Mendonça e Bruno Araújo declaram apoio a Bolsonaro no 2º turno https://t.co/GHNiDapi7k #EleiçõesSJCC #Eleições2018 h…",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
Saiba como votaram as cidades goianas e mineiras do Entorno do DF https://t.co/9zvCYSUq8k #CBnasEleições… https://t.co/z33QPG7Zln,Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",As hashtags políticas dominam o Twitter durante a eleição.
"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018",As hashtags políticas dominam o Twitter durante a eleição.
"RT @correio: Na Bahia, Rui Costa é reeleito e mantém estado sob domínio do PT https://t.co/KWfGKkYMvA #CBnasEleições #Eleições2018 https://…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,Os debates mostram o quanto a polarização está forte neste ano.
"RT @raffaelmurilo: a pergunta que é: ""como ninguém viu a porra da marreta?"" https://t.co/XgegE9LtHM",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
"RT @MomentsBrasil: Tudo sobre as #Eleições2018 em tempo real

🗞️ Últimas notícias
📺 Entrevistas e análises ao vivo
👥 Informações sobre os c…",As hashtags políticas dominam o Twitter durante a eleição.
#Eleições2018 é de foder... literalmente! Eleger o frota 😅,Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @RedeTV: Os jornalistas Boris Casoy, Amanda Klein, Mariana Godoy e Reinaldo Azevedo comentam as pesquisas e os resultados das urnas. Par…",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
"RT @vitortorres: O jornalismo político do Globo fracassou tanto nessas eleições que os comentaristas nem sabem pronunciar Witzel. 

#Eleiçõ…",As redes sociais estão em chamas com discussões sobre os candidatos.
RT @5harmolizers: Eu esperando o resultado dessa eleição #ViraViraClR0 #Eleições2018 https://t.co/3uTtu2jTML,As hashtags políticas dominam o Twitter durante a eleição.
RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,A disputa presidencial segue dividindo opiniões por todo o país.
RT @Djeison_Moreira: @jairbolsonaro arrebentando aqui #Eleições2018 #17Neles #EleicoesJP2018 https://t.co/W6pdgqUZKq,Os discursos inflamados continuam atraindo a atenção do público.
FALTAM 20 MINUTOS #EleSim #BolsonaroPresidente17 #Eleições2018,Novas denúncias agitam o cenário político a poucos dias da votação.
Deu ruim @Corinthians! #Eleições2018 #EleSim #Brasilacimadetudo,A disputa presidencial segue dividindo opiniões por todo o país.
"Bora para o 2° turno mais forte. 
#Bolsonaro #bolsonaro2018 #Bolsonaro17 #Eleições2018 #EleSim17 https://t.co/RaBSb9vvEW",As pesquisas de intenção de voto movimentam o debate diariamente.
Vai Bolsonaro!!! #elesim 🇧🇷 #Eleições2018,As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @DonaVida_: O Brasil é Bolsonaro!
O Brasil quer Bolsonaro!
Bolsonaro Presidente do Brasil! #EleSim

#FraudeNasUrnas
#Eleições2018
#Elecc…",Programas humorísticos também satirizam o clima tenso das eleições.
"Parece que o Bolsonaro e o Lul.. ops Haddad estão no 2°turno. 
#Bolsonaro #B17 #elesim #eleições2018",As hashtags políticas dominam o Twitter durante a eleição.
"RT @politicaagora1: Vamos continuar?

DESAFIO

RUMO A 6K SEGUIDORES
#DireitaSegueDireita #DireitaUnida
SE VOCE COLABORAR TODOS CRESCEM

Me…",As pesquisas de intenção de voto movimentam o debate diariamente.
"Bolsonaro Presidente , SIM.

#VotoConsciente #EleSim #Eleições2018 #B17",A disputa presidencial segue dividindo opiniões por todo o país.
"Vamos subir a Hashtag #AcordaNordeste #EleSim
#17Neles 
#Eleições2018 
#jairmessiasbolsonaro17 
#AcordaNordeste É… https://t.co/Q9AtmI8Fzk","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"Brasileira e gaúcha com orgulho❣
#EleSim 🇧🇷👐🏻",Programas humorísticos também satirizam o clima tenso das eleições.
Eu indo votar e encontro na rua eleitores com camisas do 1+7 #eleicao2018  #elenão #ciro12 #cirosim,Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
#elesim #EleSimENo1Turno #eleicao2018  É hoje! https://t.co/HcBVHcRJgE,Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @hayssa_m: É hoje, é hoje o dia em que vamos mudar o futuro do nosso país! Brasil acima de tudo, Deus acima de todos!!! #b17 #elesim #17…",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
#17Neles #EuVotoBolsonaro #EleSimENo1oTurno #b17 #eleicao2018 SAIBAM O QUE VOCÊS ESTÃO FAZENDO! AMAMOS O BRASIL E P… https://t.co/cmi15JqaXg,Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"Estou tremendo aqui 

#EuVotoBolsonaro #PTnão #eleicao2018 #EleSimENo1oTurno #Bolsonaro17 @BolsonaroSP… https://t.co/09OZNgklxZ",Promessas e ataques tomam conta dos programas eleitorais na TV.
"GENTE
VOTEM LOGO NO BOLSONARO

SE ELE VENCER HOJE, JÁ ACABA LOGO E N TEM 2º TURNO

AÍ A GENTE NEM PRECISA SAIR DE C… https://t.co/DYaZ05fQfU",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
Indo votar com a Bíblia na mão e o líquido ungido na outra! #eleicao2018 #CaboDaciolo https://t.co/SVQLpwwlxJ,As redes sociais estão em chamas com discussões sobre os candidatos.
"Não sei que tanta mudança é essa que os eleitores de bolsonaro acreditam que vai acontecer.
De um cara que não sabe… https://t.co/7AxGJrLdyE",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @RaianyMirelly: Pesquisa Rápida:
Em quem vocês votariam para ser presidente ?

#EuVotoBolsonaro
#ViraViraClR0
#eleicao2018
#EleiçõesRBS2…",A disputa presidencial segue dividindo opiniões por todo o país.
RT @123russo_edu: Hj é dia de mudança #17neles #eleicao2018 #b17,As fake news continuam circulando em ritmo acelerado nas redes.
"Chegou o dia, votem consciente ❤️
#ViraViraCiro12  #ViraViraClR0 #ViraViraClRO #Ciro12  #eleicao2018 #CiroSim… https://t.co/RXWdOjxlWB",Programas humorísticos também satirizam o clima tenso das eleições.
Na hora de votar vai se bege afff mas o vermelho está dentro dela #eleicao2018 #bolsonaro #EleSimENo1Turno https://t.co/DlanLzYC60,Os discursos inflamados continuam atraindo a atenção do público.
"#eleicao2018  
Bora lá Bolsonaro 
#EleSim  VOTA 12",Os debates mostram o quanto a polarização está forte neste ano.
"Se é necessário fraudar é porque já sabe quem vai ganhar

#EleSim #Bolsonaro17 #Bolsonaro #EleicoesRBS2018… https://t.co/9X3KUm4Za2",Os discursos inflamados continuam atraindo a atenção do público.
Partiu votação!!! Bolsonaro 17 #EleSim #elesimbolsonaro17 #EleSimENo1oTurno #eleicao2018 https://t.co/ZaFl7SanZO,A disputa entre os candidatos está cada vez mais agressiva.
"Onde nos fomos parar, hein. Já posso dizer que a culpa não é minha, não votei no coiso?! Tempos sombrios #Eleições2018 #EleNão",A disputa presidencial segue dividindo opiniões por todo o país.
"eu queria que tudo isso fosse um pesadelo ou a realidade invertida de stranger things 
não consigo acreditar 
#Eleições2018 #EleNão",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"Minha mãe resumindo nossa situação
#EleNão 
#Eleições2018 https://t.co/HHeEbn1eW7",Promessas e ataques tomam conta dos programas eleitorais na TV.
"A Bahia, estado-mãe do Brasil, tentando salvar seu filho das profundezas do inferno! #Elenão #Eleições2018 https://t.co/axc0d91ko5",As redes sociais estão em chamas com discussões sobre os candidatos.
